SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-23-2021,Single Family Residential,4531 E MARCONI Ave,Phoenix,AZ,85032,749000.0,4.0,2.0,GREENWAY GLEN,2380.0,10148.0,1985.0,,315.0,,Sold,,,https://www.redfin.com/AZ/Phoenix/4531-E-Marconi-Ave-85032/home/27608311,ARMLS,6328489.0,N,Y,33.6309747,-111.9825705
PAST SALE,September-1-2023,Single Family Residential,2414 E Dahlia Dr,Phoenix,AZ,85032,477000.0,3.0,2.0,CLEARVIEW 5,1215.0,6585.0,1971.0,,393.0,,Sold,,,https://www.redfin.com/AZ/Phoenix/2414-E-Dahlia-Dr-85032/home/26974969,ARMLS,6589525.0,N,Y,33.6036303,-112.029915
PAST SALE,May-17-2021,Townhouse,13834 N 42ND St,Phoenix,AZ,85032,333000.0,2.0,2.0,VINTAGE REPLAT,1216.0,1993.0,1985.0,,274.0,193.0,Sold,,,https://www.redfin.com/AZ/Phoenix/13834-N-42nd-St-85032/home/27382851,ARMLS,6221901.0,N,Y,33.6130287,-111.99149
PAST SALE,May-31-2023,Single Family Residential,16638 N 35th Way,Phoenix,AZ,85032,515000.0,3.0,2.0,PREMIERE AT SUMMER BREEZE TWO LOT 97-166 TR AB,1522.0,6946.0,1993.0,,338.0,42.0,Sold,,,https://www.redfin.com/AZ/Phoenix/16638-N-35th-Way-85032/home/28425249,ARMLS,6550220.0,N,Y,33.6384168,-112.0057694
PAST SALE,April-23-2021,Townhouse,18250 N CAVE CREEK Rd #133,Phoenix,AZ,85032,247000.0,2.0,2.5,KENSINGTON PLACE CONDOMINIUM,1440.0,687.0,2005.0,,172.0,210.0,Sold,,,https://www.redfin.com/AZ/Phoenix/18250-N-Cave-Creek-Rd-85032/unit-133/home/28147433,ARMLS,6218073.0,N,Y,33.652918,-112.0313123
PAST SALE,March-31-2021,Single Family Residential,3834 E HEARN Rd,Phoenix,AZ,85032,390000.0,3.0,2.0,PARADISE VALLEY OASIS NO. 7,1290.0,6368.0,1974.0,,302.0,,Sold,,,https://www.redfin.com/AZ/Phoenix/3834-E-Hearn-Rd-85032/home/28081811,ARMLS,6202151.0,N,Y,33.6156813,-111.9970091
PAST SALE,May-11-2022,Single Family Residential,13033 N 42ND St,Phoenix,AZ,85032,490000.0,3.0,1.0,PARADISE VALLEY OASIS NO. 9,1358.0,8653.0,1976.0,,361.0,,Sold,,,https://www.redfin.com/AZ/Phoenix/13033-N-42nd-St-85032/home/27912276,ARMLS,6375065.0,N,Y,33.6057271,-111.9913269
PAST SALE,May-10-2022,Single Family Residential,4529 E MONTE CRISTO Ave,Phoenix,AZ,85032,955000.0,4.0,2.0,PRESTWICK RANCH,2400.0,10938.0,1999.0,,398.0,,Sold,,,https://www.redfin.com/AZ/Phoenix/4529-E-Monte-Cristo-Ave-85032/home/26969519,ARMLS,6379317.0,N,Y,33.6318225,-111.9834264
PAST SALE,October-6-2022,Single Family Residential,3530 E NISBET Rd,Phoenix,AZ,85032,410000.0,4.0,2.0,PARADISE VALLEY OASIS 11,1653.0,6304.0,1979.0,,248.0,,Sold,,,https://www.redfin.com/AZ/Phoenix/3530-E-Nisbet-Rd-85032/home/26890562,ARMLS,6460374.0,N,Y,33.6228975,-112.0051097
PAST SALE,February-16-2023,Single Family Residential,4301 E Whitney Ln,Phoenix,AZ,85032,695000.0,4.0,2.5,COVEY UNIT 8,2275.0,9458.0,1984.0,,305.0,,Sold,,,https://www.redfin.com/AZ/Phoenix/4301-E-Whitney-Ln-85032/home/27766946,ARMLS,6504668.0,N,Y,33.6205822,-111.9892931
PAST SALE,November-14-2022,Single Family Residential,3423 E LE Marche Ave,Phoenix,AZ,85032,530000.0,4.0,2.0,VILLA ADDANTE LOT 1-25,1835.0,5928.0,1991.0,,289.0,,Sold,,,https://www.redfin.com/AZ/Phoenix/3423-E-Le-Marche-Ave-85032/home/28114447,ARMLS,6467420.0,N,Y,33.6324169,-112.0079982
PAST SALE,July-27-2023,Townhouse,18239 N 40th St #109,Phoenix,AZ,85032,285000.0,2.0,1.5,PARADISE HILLS TOWNHOMES UNIT 1-78,1189.0,625.0,1998.0,,240.0,200.0,Sold,,,https://www.redfin.com/AZ/Phoenix/18239-N-40th-St-85032/unit-109/home/27920043,ARMLS,6557574.0,N,Y,33.6524045,-111.9963676
PAST SALE,October-1-2021,Condo/Co-op,4455 E PARADISE VILLAGE Pkwy #1001,Phoenix,AZ,85032,365000.0,2.0,2.0,VILLAS AT STONECREEK LUXURY CONDOMINIUMS,1234.0,571.0,2001.0,,296.0,277.0,Sold,,,https://www.redfin.com/AZ/Phoenix/4455-E-Paradise-Village-Pkwy-S-85032/unit-1001/home/28104371,ARMLS,6286451.0,N,Y,33.5957347,-111.9826876
PAST SALE,June-28-2023,Single Family Residential,14601 N 44th St,Phoenix,AZ,85032,578500.0,3.0,3.0,COVEY UNIT 7 LOT 329-363,1465.0,8843.0,1983.0,,395.0,,Sold,,,https://www.redfin.com/AZ/Phoenix/14601-N-44th-St-85032/home/28266053,ARMLS,6554975.0,N,Y,33.6191634,-111.9862733
PAST SALE,May-26-2023,Single Family Residential,14419 N 35th St,Phoenix,AZ,85032,310000.0,2.0,1.0,PARADISE VALLEY OASIS NO. 10,840.0,5911.0,1979.0,,369.0,,Sold,,,https://www.redfin.com/AZ/Phoenix/14419-N-35th-St-85032/home/28208312,ARMLS,6547317.0,N,Y,33.6178101,-112.0076084
PAST SALE,October-7-2021,Single Family Residential,3332 E ACOMA Dr,Phoenix,AZ,85032,362000.0,3.0,2.0,GREENWAY ESTATES NO. 4,1154.0,8221.0,1980.0,,314.0,,Sold,,,https://www.redfin.com/AZ/Phoenix/3332-E-Acoma-Dr-85032/home/27964945,ARMLS,6287138.0,N,Y,33.6191617,-112.0101669
PAST SALE,September-15-2021,Single Family Residential,4314 E GREENWAY Ln,Phoenix,AZ,85032,615000.0,3.0,2.0,ROYAL ESTATES EAST UNIT 4,1858.0,7886.0,1988.0,,331.0,,Sold,,,https://www.redfin.com/AZ/Phoenix/4314-E-Greenway-Ln-85032/home/27447318,ARMLS,6248736.0,N,Y,33.6251642,-111.9877638
PAST SALE,May-10-2023,Single Family Residential,14808 N 37th Pl,Phoenix,AZ,85032,395000.0,3.0,2.0,PARADISE VALLEY MANOR NO. 3,1268.0,7470.0,1973.0,,312.0,,Sold,,,https://www.redfin.com/AZ/Phoenix/14808-N-37th-Pl-85032/home/27703579,ARMLS,6534217.0,N,Y,33.6212881,-112.0023674
PAST SALE,September-27-2022,Single Family Residential,4407 E MONTE CRISTO Ave,Phoenix,AZ,85032,750000.0,3.0,2.0,GREENBRIER EAST UNIT 12,2181.0,10155.0,1986.0,,344.0,,Sold,,,https://www.redfin.com/AZ/Phoenix/4407-E-Monte-Cristo-Ave-85032/home/27921086,ARMLS,6436115.0,N,Y,33.6318302,-111.98604
PAST SALE,August-24-2022,Single Family Residential,3010 E FRIESS Dr,Phoenix,AZ,85032,472400.0,3.0,2.0,CIMARRON HILLS 3,1325.0,6514.0,1999.0,,357.0,,Sold,,,https://www.redfin.com/AZ/Phoenix/3010-E-Friess-Dr-85032/home/28012381,ARMLS,6433067.0,N,Y,33.6140344,-112.0171533
PAST SALE,August-23-2021,Single Family Residential,3210 E LARKSPUR Dr,Phoenix,AZ,85032,569000.0,4.0,2.5,HY-VIEW NO. 12 PLAT C,2417.0,10928.0,1973.0,,235.0,,Sold,,,https://www.redfin.com/AZ/Phoenix/3210-E-Larkspur-Dr-85032/home/27486339,ARMLS,6263422.0,N,Y,33.6012723,-112.0125656
PAST SALE,May-4-2023,Condo/Co-op,4444 E Paradise Village Pkwy #247,Phoenix,AZ,85032,300000.0,2.0,2.0,PARADISE PARK CONDOMINIUMS PHASE 1,1000.0,1041.0,1980.0,,300.0,300.0,Sold,,,https://www.redfin.com/AZ/Phoenix/4444-E-Paradise-Village-Pkwy-N-85032/unit-247/home/28223263,ARMLS,6532275.0,N,Y,33.6052582,-111.9843292
PAST SALE,March-15-2021,Single Family Residential,4021 E ACOMA Dr,Phoenix,AZ,85032,647000.0,5.0,3.0,PARADISE VALLEY OASIS NO. 8,2940.0,8508.0,1976.0,,220.0,,Sold,,,https://www.redfin.com/AZ/Phoenix/4021-E-Acoma-Dr-85032/home/27613727,ARMLS,6178122.0,N,Y,33.6188832,-111.9949303
PAST SALE,November-10-2021,Single Family Residential,2706 E Dahlia Dr,Phoenix,AZ,85032,450000.0,3.0,2.0,CLEARVIEW 6,1740.0,7008.0,1972.0,,259.0,,Sold,,,https://www.redfin.com/AZ/Phoenix/2706-E-Dahlia-Dr-85032/home/28328839,ARMLS,6278237.0,N,Y,33.6036884,-112.0246986
PAST SALE,,Single Family Residential,3540 E Voltaire Dr,Phoenix,AZ,85032,360000.0,,2.0,,1064.0,7016.0,1970.0,,338.0,,,,,https://www.redfin.com/AZ/Phoenix/3540-E-Voltaire-Dr-85032/home/27402494,,,N,Y,33.611926,-112.0050027
PAST SALE,October-5-2022,Townhouse,4129 E CHARTER OAK Rd,Phoenix,AZ,85032,429000.0,3.0,2.0,LAS HACIENDAS DE PARADISE VILLAGE,1591.0,2209.0,1980.0,,270.0,280.0,Sold,,,https://www.redfin.com/AZ/Phoenix/4129-E-Charter-Oak-Rd-85032/home/28108664,ARMLS,6429820.0,N,Y,33.5982835,-111.9934202
PAST SALE,September-16-2022,Single Family Residential,4532 E Crocus Dr,Phoenix,AZ,85032,890000.0,5.0,3.5,ROYAL ESTATES EAST,3506.0,10146.0,1982.0,,254.0,,Sold,,,https://www.redfin.com/AZ/Phoenix/4532-E-Crocus-Dr-85032/home/27533457,ARMLS,6425513.0,N,Y,33.6167131,-111.9836883
PAST SALE,March-14-2023,Single Family Residential,3620 E Joan DE Arc Ave,Phoenix,AZ,85032,420000.0,3.0,2.0,PARADISE VALLEY OASIS NO 4,1330.0,6190.0,1971.0,,316.0,,Sold,,,https://www.redfin.com/AZ/Phoenix/3620-E-Joan-de-Arc-Ave-85032/home/26976706,ARMLS,6497311.0,N,Y,33.6092482,-112.0035617
